Jahr;Gesamtstromverbrauch;Biologie;Hydraulik;Schlammbehandlung;Schlammentwaesserung;Energiezentrale;mech. Abwasserbehandlung;Diverses Klaeranlage;Haustechnik EBK, z.B. Betriebsgebaeude;Dritte;Quelle
2014;5803;54,1;17,1;11,5;4,4;3,8;0,8;1,1;5,4;1,8;Entsorgungsbetriebe Stadt Konstanz
2015;5669;50,7;19,6;12,2;3,7;4,2;1,1;1,5;5,3;1,7;Entsorgungsbetriebe Stadt Konstanz
2016;5252;46,5;23,2;8,3;4;7,4;1,5;1,6;5,7;1,9;Entsorgungsbetriebe Stadt Konstanz
2017;5163;40,1;25,1;10,6;4,6;8,3;1,7;2;5,9;1,7;Entsorgungsbetriebe Stadt Konstanz
2018;5244;42,2;20,8;11,7;4,6;9,1;2,1;2,3;5,4;1,7;Entsorgungsbetriebe Stadt Konstanz
2019;5212;42,6;20,5;12;4,4;9;2,2;2,2;5,4;1,8;Entsorgungsbetriebe Stadt Konstanz
2020;5235;45,6;18,9;11,4;4,8;9,1;2;1,7;4,8;1,8;Entsorgungsbetriebe Stadt Konstanz
2021;5422;44,9;21;11,4;4,8;8,1;1,8;1,4;4,8;1,8;Entsorgungsbetriebe Stadt Konstanz
2022;5550;51,5;16,6;10,7;4,9;7;1,6;0,8;5,1;1,7;Entsorgungsbetriebe Stadt Konstanz
2023;5427;49,4;19,8;10,9;4,8;7,3;1,7;0,8;4,7;0,7;Entsorgungsbetriebe Stadt Konstanz
